IDS_TEXTCLIENT_INC_000001	Karte
IDS_TEXTCLIENT_INC_001385	Füge das Item mit der Karte ein.
IDS_TEXTCLIENT_INC_001386	Möchtest du die Karte zum Sockeln löschen?
IDS_TEXTCLIENT_INC_001387	Der heutige Gildenkrieg konnte nicht stattfinden weil die Anzahl der teilnehmenden Gilden weniger als 1 war.
IDS_TEXTCLIENT_INC_001388	Einen angenehmen Tag noch.
IDS_TEXTCLIENT_INC_001389	Erfahrungsangebot: %d~%d
IDS_TEXTCLIENT_INC_001390	Erfahrungsangebot 
IDS_TEXTCLIENT_INC_001391	Wenn man die Penya im Inventar und das Preisgeld zusammenrechnet, übersteigt der Betrag die maximale Anzahl von Penya im Inventar. Wenn du dein Geld an einer anderen Stelle gelagert hast, komme bitte erneut und frage dann nach dem Preisgeld.
IDS_TEXTCLIENT_INC_001392	Wenn man die Penya im Inventar und das Preisgeld des Gildenkrieg zusammenrechnet, übersteigt der Betrag die maximale Anzahl von Penya im Inventar. Bitte Schicke eine Email an unsere Webseite. Wir bedauern diesen Umstand.
IDS_TEXTCLIENT_INC_001393	Du hast %I64d Penya als Preisgeld für den Gildenkrieg erhalten. Herzlichen Glückwunsch!!!
IDS_TEXTCLIENT_INC_001394	Du hast %I64d Penya erhalten nach Abzug der Provision für die Anmeldung.
IDS_TEXTCLIENT_INC_001395	\n Ein Sieg : Dragon Cloak of the challenge \n 2 Siege hintereinander : Dragon Cloak of Bravery \n 3 Siege hintereinander : Dragon Cloak of a Desire \n 4 Siege hintereinander : Dragon Cloak of Majesty
IDS_TEXTCLIENT_INC_001396	Die Informationen zum Preisgeld
IDS_TEXTCLIENT_INC_001397	Der Erhalt des Preisgeldes für den MVP
IDS_TEXTCLIENT_INC_001398	Die Information zur Teilnahme
IDS_TEXTCLIENT_INC_001399	Grundregeln
IDS_TEXTCLIENT_INC_001400	Siegbedingungen
IDS_TEXTCLIENT_INC_001401	Die Information über die Provision
IDS_TEXTCLIENT_INC_001402	Die Rückgabe der Teilnahmegebühr
IDS_TEXTCLIENT_INC_001403	Du hast erst nach %d Penya gefragt. Und jetzt fragst du zusätzlich nach %d Penya.
IDS_TEXTCLIENT_INC_001404	Geh hinein, wenn einer deiner Gilde tot ist.
IDS_TEXTCLIENT_INC_001405	Sei bereit!
IDS_TEXTCLIENT_INC_001406	Nach %d, betrittst du %s.
IDS_TEXTCLIENT_INC_001407	Du hast bereits das Preisgeld erhalten oder du bist die Person, die ihre Anmeldegebühr zurückbekommen soll.
IDS_TEXTCLIENT_INC_001408	Du hast bereits das Preisgeld für den MVP erhalten oder du bist nicht der Sieger des MVP Turniers.
IDS_TEXTCLIENT_INC_001409	Du hast %I64d Penya als MVP erhalten. Herzlichen Glückwunsch!!!
IDS_TEXTCLIENT_INC_001410	Ein Vagrant kann nicht am Gildenkrieg teilnehmen.
IDS_TEXTCLIENT_INC_001411	Die Aufstellung für den Gildenkrieg ist abgeschlossen.
IDS_TEXTCLIENT_INC_001412	Von nun an kannst du die Teilnahme am Gildenkrieg organisieren.
IDS_TEXTCLIENT_INC_001413	Es sollte jetzt funktionieren.
IDS_TEXTCLIENT_INC_001414	Du hast dich erfolgreich für den Gildenkrieg eingetragen. Du kannst für die Gilde jeden Samstag um 17 Uhr Einstellungen vornehmen.
IDS_TEXTCLIENT_INC_001415	Die Teilnahmegebühr wird zurückerstattet, wenn du am Gildenkrieg nicht teilnehmen kannst.
IDS_TEXTCLIENT_INC_001416	Du kannst keine Skills im Zuschauerraum benutzen.
IDS_TEXTCLIENT_INC_001417	Du kannst keine Items im Zuschauerraum benutzen.
IDS_TEXTCLIENT_INC_001418	Du kannst in der Arena niemanden als Freund hinzufügen.
IDS_TEXTCLIENT_INC_001419	Du kannst in der Arena vor dem Gildenkrieg handeln.
IDS_TEXTCLIENT_INC_001420	Du kannst die Party für den Gildenkrieg in der Arena machen.
IDS_TEXTCLIENT_INC_001421	Es ist nicht möglich eine Gilde aufzulösen, die sich am Gildenkrieg eingetragen hat.
IDS_TEXTCLIENT_INC_001422	Du kannst nicht während des Gildenkrieg aussteigen.
IDS_TEXTCLIENT_INC_001423	Du kannst niemanden während des Gildenkrieg in die Gilde einladen.
IDS_TEXTCLIENT_INC_001424	Du hast die Penya bereits erhalten. Du kannst die Penya nicht während des Gildenkrieg erhalten.
IDS_TEXTCLIENT_INC_001425	Du gewinnst %d Penya als MVP. Herzlichen Glückwunsch!!!
IDS_TEXTCLIENT_INC_001426	Zeit zur Aufstellung und Vorbereitung für den Gildenkrieg
IDS_TEXTCLIENT_INC_001427	Gib bitte mehr Geld als das Minimum bei der Anmeldung an.
IDS_TEXTCLIENT_INC_001428	Du hast bei der Anmeldung mehr Geld eingegeben als du besitzt.
IDS_TEXTCLIENT_INC_001429	Du hast bereits %d Penya eingezahlt. Möchtest du zusätzlich %d Penya zahlen.
IDS_TEXTCLIENT_INC_001430	Möchtest du die Aufstellung für den Gildenkrieg überarbeiten?
IDS_TEXTCLIENT_INC_001431	Ab jetzt kannst du nicht mehr teilnehmen.
IDS_TEXTCLIENT_INC_001432	Du hast dich nicht zum Gildenkrieg angemeldet oder du kannst am Gildenkrieg nicht teilnehmen.
IDS_TEXTCLIENT_INC_001433	Du solltest über Level 30 sein für die Teilnahme.
IDS_TEXTCLIENT_INC_001434	Du bist kein Gildenmitglied und kannst nicht am Gildenkrieg teilnehmen.
IDS_TEXTCLIENT_INC_001435	Nicht registriert. Bitte neu registrieren.
IDS_TEXTCLIENT_INC_001436	Es gibt keinen Verteidiger. Wähle einen Verteidiger.
IDS_TEXTCLIENT_INC_001437	Es gibt keine Teilnehmer. Wähle einen Teilnehmer aus.
IDS_TEXTCLIENT_INC_001438	Es ist kein Gildenmeister oder Kingpin eingetragen.
IDS_TEXTCLIENT_INC_001439	Der Gildenmeister kann kein Verteidiger sein.
IDS_TEXTCLIENT_INC_001440	Ein Vagrant kann nicht am Gildenkrieg teilnehmen. Nach dem Jobwechsel kannst du es nochmal probieren.
IDS_TEXTCLIENT_INC_001441	Es werden 1000 Penya benötigt um einen Dragon Cloak herzustellen. Möchtest du ihn herstellen?
IDS_TEXTCLIENT_INC_001442	Wir machen jetzt ein Demonstrationsspiel. Das Ergebnis wird das Ranking nicht beeinflussen.
IDS_TEXTCLIENT_INC_001443	%s Event läuft noch.
IDS_TEXTCLIENT_INC_001444	%s Event wurde gestartet.
IDS_TEXTCLIENT_INC_001445	%s Event wurde beendet.
IDS_TEXTCLIENT_INC_001446	Registrierung zur Teilnahme am Gildenkrieg. Startende Mitglieder %d (Maximal %d Mitglieder)
IDS_TEXTCLIENT_INC_001447	Die vorgeschriebene Anzahl von %d, wurde überschritten.
IDS_TEXTCLIENT_INC_001448	Vielen Dank für die Teilnahme am Gildenkrieg.
IDS_TEXTCLIENT_INC_001449	%s's Briefkasten ist voll.
IDS_TEXTCLIENT_INC_001450	Willst du deinen Charakter wirklich löschen?
IDS_TEXTCLIENT_INC_001451	Die Sendung ist seit mehr als %d Tagen im Postfach. Möchtest du die fällige Lagergebühr von %d Penya zahlen?
IDS_TEXTCLIENT_INC_001452	Spieler Ranking
IDS_TEXTCLIENT_INC_001453	Gilden Ranking
IDS_TEXTCLIENT_INC_001454	Der Text sollte weniger als %d Zeichen haben.
IDS_TEXTCLIENT_INC_001455	Der Titel sollte weniger als %d Zeichen haben.
IDS_TEXTCLIENT_INC_001456	Wenn ein Mitglied der Party über Lvl%d ist,dann kann er nicht beitreten.
IDS_TEXTCLIENT_INC_001457	Du wagst es hier aufzutauchen!
IDS_TEXTCLIENT_INC_001458	Du scheinst keine Angst zu haben!!!
IDS_TEXTCLIENT_INC_001459	Ich werde dich beurteilen!
IDS_TEXTCLIENT_INC_001460	Mach mich nicht wütend!!! 
IDS_TEXTCLIENT_INC_001461	%s!!! Wie kannst du es wagen?
IDS_TEXTCLIENT_INC_001462	Ich werde dich prüfen!
IDS_TEXTCLIENT_INC_001463	Ich wünsche dir alles böse!
IDS_TEXTCLIENT_INC_001464	Erschlagt den Feind!
IDS_TEXTCLIENT_INC_001465	Wer hat mich geweckt?!~
IDS_TEXTCLIENT_INC_001466	%s!!! Ich werde dich mit meiner Axt töten.
IDS_TEXTCLIENT_INC_001467	Ich schick dich in die Hölle!
IDS_TEXTCLIENT_INC_001468	Das Log wurde in der Datei %s gespeichert.
IDS_TEXTCLIENT_INC_001469	Gesamt Rang
IDS_TEXTCLIENT_INC_001470	Das Schlachtenlogbuch
IDS_TEXTCLIENT_INC_001471	Der Gildenmeister 
IDS_TEXTCLIENT_INC_001472	Verteidiger
IDS_TEXTCLIENT_INC_001473	[%s]
IDS_TEXTCLIENT_INC_001474	(Stufe %d)
IDS_TEXTCLIENT_INC_001475	Der Basispunkt +2
IDS_TEXTCLIENT_INC_001476	Der Bonus mit Gildenmeister +1
IDS_TEXTCLIENT_INC_001477	Der Verteidigungsbonus +1
IDS_TEXTCLIENT_INC_001478	Tötungsbonus +1
IDS_TEXTCLIENT_INC_001479	Der Wiederbelebungsbonus +1
IDS_TEXTCLIENT_INC_001480	Wenn du dich für Aufgeben entscheidest, wird der Gildenkrieg abgebrochen.
IDS_TEXTCLIENT_INC_001481	Hallo. Ich bin die Gildenverwalterin Donaris.\n Ich werde dir Geld zurückgeben, weil du abgebrochen hast. Ich habe 20% als Provision abgezogen.\n Danke für dein Interesse.
IDS_TEXTCLIENT_INC_001482	Rückzahlung wegen Fehlschlag eines Gildenkrieg
IDS_TEXTCLIENT_INC_001483	Hallo. Ich bin die Gildenverwalterin Donaris.\n Ich werde dir Geld zurückgeben, weil du zu wenig geboten hast. Ich habe 2% als Provision abgezogen.\n Ich hoffe du nimmst beim nächsten Gildenkrieg wieder teil.\n Danke für dein Interesse.
IDS_TEXTCLIENT_INC_001484	Rang
IDS_TEXTCLIENT_INC_001485	Name
IDS_TEXTCLIENT_INC_001486	Job
IDS_TEXTCLIENT_INC_001487	Stufe
IDS_TEXTCLIENT_INC_001488	Danke für den Kauf von Premium Items.
IDS_TEXTCLIENT_INC_001489	%s hat dir %s als ein Geschenk geschickt 
IDS_TEXTCLIENT_INC_001490	Angriffskraft
IDS_TEXTCLIENT_INC_001491	Sieger: %s
IDS_TEXTCLIENT_INC_001492	Verlierer: %s
IDS_TEXTCLIENT_INC_001493	Der Sieger hat %d Punkte erhalten
IDS_TEXTCLIENT_INC_001494	Du kannst es nicht benutzen.
IDS_TEXTCLIENT_INC_001495	Du hast 30 Prozents der Exp wiederhergestellt, die die du beim Sterben verloren hast.
IDS_TEXTCLIENT_INC_001496	%s EXP Box
IDS_TEXTCLIENT_INC_001497	Das Angriffstempo nimmt zu
IDS_TEXTCLIENT_INC_001498	Du kannst deine EXP wiederherstellen, wenn du zu dem Ort zurückkehrst, wo du gestorben bist.
IDS_TEXTCLIENT_INC_001499	Die benötigten Skillpunkte
IDS_TEXTCLIENT_INC_001500	Neue Skillpunkte erhalten
IDS_TEXTCLIENT_INC_001501	Dieses Item kann nicht getauscht werden.
IDS_TEXTCLIENT_INC_001502	Dieses Item kann nicht getauscht werden, wenn er benutzt wird.
IDS_TEXTCLIENT_INC_001503	Dieses Item kann nicht in den Shop gesetzt werden, wenn er benutzt wird.
IDS_TEXTCLIENT_INC_001504	Dieses Item kann nicht in die Gildenbank getan werden, wenn er benutzt wird.
IDS_TEXTCLIENT_INC_001505	Dieses Item kann nicht versendet werden, wenn er benutzt wird.
IDS_TEXTCLIENT_INC_001506	Level Up!!
IDS_TEXTCLIENT_INC_001507	Das Skill Level wurde modifiziert durch die Neuverteilung der Skillpunkte.\nBestätige das bitte?
IDS_TEXTCLIENT_INC_001508	Es stimmt nicht mit der Anzahl der Items überein. Bitte gib sie nochmal ein.
IDS_TEXTCLIENT_INC_001509	%s wurde %s mal weggeworfen.
IDS_TEXTCLIENT_INC_001510	Name
IDS_TEXTCLIENT_INC_001511	Level
IDS_TEXTCLIENT_INC_001512	Job Level
IDS_TEXTCLIENT_INC_001513	Fluglevel
IDS_TEXTCLIENT_INC_001514	Flug EXP
IDS_TEXTCLIENT_INC_001515	Reise EXP
IDS_TEXTCLIENT_INC_001516	GP
IDS_TEXTCLIENT_INC_001517	Duellruhm
IDS_TEXTCLIENT_INC_001518	Duellpunkte
IDS_TEXTCLIENT_INC_001519	Kill Punkte
IDS_TEXTCLIENT_INC_001520	Karma Level
IDS_TEXTCLIENT_INC_001521	Karma Punkte
IDS_TEXTCLIENT_INC_001522	ATK
IDS_TEXTCLIENT_INC_001523	Crit
IDS_TEXTCLIENT_INC_001524	Atk Spd
IDS_TEXTCLIENT_INC_001525	Text editieren
IDS_TEXTCLIENT_INC_001526	Bis zu 2 Sockel sind nun für 1 Hand Waffen und Schilde und 4 Sockel für 2 Hand Waffen und Rüstung verfügbar.
IDS_TEXTCLIENT_INC_001527	Dieses Item kann nur auf Waffen und Rüstung angewendet werden.
IDS_TEXTCLIENT_INC_001528	\nMöchtest du mit der \nMischfunktion zum Gegenstand %s fortfahren?
IDS_TEXTCLIENT_INC_001529	Die Mischfunktion \nwurde bereits auf den Gegenstand %s angewendet. \nDie vorhergehende Mischfunktion wird storniert. \nMöchtest du fortfahren?
IDS_TEXTCLIENT_INC_001530	In den Gegenstand %s, %s+%d wurden übernommen.
IDS_TEXTCLIENT_INC_001531	Rufen ist in %d Sekunden %d Mal erlaubt.
IDS_TEXTCLIENT_INC_001532	Gegenstände die hier abgelegt werden, werden entfernt.
IDS_TEXTCLIENT_INC_001533	Dies ist nicht verfügbar während des Gildenkrieg.
IDS_TEXTCLIENT_INC_001534	Ergebnis des Coca Cola Events
IDS_TEXTCLIENT_INC_001535	Die ist nur für Spieler, die über Level 16 sind, möglich.
IDS_TEXTCLIENT_INC_001536	Schadensabsorbierung
IDS_TEXTCLIENT_INC_001537	Deine Sitzung ist vorbei. Bitte versuch es erneut.
IDS_TEXTCLIENT_INC_001538	Du kannst nur Rufen, wenn du über Level 20 bist.
IDS_TEXTCLIENT_INC_001539	Penya
IDS_TEXTCLIENT_INC_001540	zehntausend
IDS_TEXTCLIENT_INC_001541	einhundert Millionen
IDS_TEXTCLIENT_INC_001542	Es kann nicht eingetragen werden, weil der Preis zu hoch ist.
IDS_TEXTCLIENT_INC_001543	Du kannst Penya nicht auf den Boden werfen.
IDS_TEXTCLIENT_INC_001544	Du hast zum %d. mal teilgenommen, daher hast du %s in deinem Inventar.\nSchönen Tag noch!\nDenk dran, das du das Event Item nicht tauschen, wegwerfen oder handeln kannst.
IDS_TEXTCLIENT_INC_001545	Binded
IDS_TEXTCLIENT_INC_001546	Willst du den Shop öffnen?
IDS_TEXTCLIENT_INC_001547	Willst du den Shop schließen?
IDS_TEXTCLIENT_INC_001548	Privat Shop
IDS_TEXTCLIENT_INC_001549	(Shop ist geöffnet)
IDS_TEXTCLIENT_INC_001550	Preis für Eventteilnahme ist eingetroffen!!
IDS_TEXTCLIENT_INC_001551	Du hast am %d - %d - %d teilgenommen.
IDS_TEXTCLIENT_INC_001552	Kosmetische Behandlung
IDS_TEXTCLIENT_INC_001553	Du bist bei der kosmetischen Behandlung.
IDS_TEXTCLIENT_INC_001554	Du kannst keine kosmetische Behandlung während des Handels machen.
IDS_TEXTCLIENT_INC_001555	PVP/PK
IDS_TEXTCLIENT_INC_001556	PVP Ruhm
IDS_TEXTCLIENT_INC_001557	PVP
IDS_TEXTCLIENT_INC_001558	PK
IDS_TEXTCLIENT_INC_001559	Karma
IDS_TEXTCLIENT_INC_001560	Du hast einen Engel beschworen.
IDS_TEXTCLIENT_INC_001561	Du kannst einen Engel nicht während des Handelns beschwören.
IDS_TEXTCLIENT_INC_001562	Die Anzahl der Gems ist überschritten.
IDS_TEXTCLIENT_INC_001563	Du brauchst mindestens 3 Oricalkum und 3 Moonstone um einen Engel zu beschwören!
IDS_TEXTCLIENT_INC_001564	Du kannst während der Nutzung des Briefkastens nicht handeln.
IDS_TEXTCLIENT_INC_001565	Du benutzt zur Zeit einen High Level Skill, daher kannst du diesen Skill nicht benutzen!
IDS_TEXTCLIENT_INC_001566	Charaktere mit Karma können die Bank nicht benutzen.
IDS_TEXTCLIENT_INC_001567	Charaktere mit Karma können Shops nicht benutzen.
IDS_TEXTCLIENT_INC_001568	Charaktere mit Karma können Private Shops nicht nutzen.
IDS_TEXTCLIENT_INC_001569	Charaktere mit Karma können nicht fliegen.
IDS_TEXTCLIENT_INC_001570	PK ist nicht verfügbar für Spieler unter Level 20.
IDS_TEXTCLIENT_INC_001571	PK ist nicht verfügbar für Spieler unter Level 20.
IDS_TEXTCLIENT_INC_001572	In diesem Areal ist kein PK verfügbar.
IDS_TEXTCLIENT_INC_001573	Du kannst dies nur verwenden, wenn du einen PK Wert hast.
IDS_TEXTCLIENT_INC_001574	Ein Engel aus dem Himmel.
IDS_TEXTCLIENT_INC_001575	Der Gesamtpreis kann den Wert 1,000,000,000 Penya nicht überschreiten.
IDS_TEXTCLIENT_INC_001576	Die Gesamtmenge der Penya im Inventar und der Wert für den Verkauf der Gegenstände kann den Wert von 2,000,000,000 Penya nicht überschreiten.
IDS_TEXTCLIENT_INC_001577	
IDS_TEXTCLIENT_INC_001578	Du kannst diesen Gegenstand derzeit nicht verwenden.
IDS_TEXTCLIENT_INC_001579	Die EXP des Engels hat 100% erreicht. Bitte klicke auf den Engel.
IDS_TEXTCLIENT_INC_001580	Du hast keinen Platz im Inventar. Bitte schaffe etwas Platz und klicke dann erneut auf den Engel.
IDS_TEXTCLIENT_INC_001581	Du musst zuerst das Confession Quest annehmen, um einen Engel zu beschwören.
IDS_TEXTCLIENT_INC_001582	Du hast bereits einen Engel mit vollen EXP.
IDS_TEXTCLIENT_INC_001583	%s hat das Duell verloren!
IDS_TEXTCLIENT_INC_001584	%s hat das Duell gewonnen!
IDS_TEXTCLIENT_INC_001585	Du hast %s getötet.
IDS_TEXTCLIENT_INC_001586	Du wurdest von %s getötet.
IDS_TEXTCLIENT_INC_001587	Bitte klicke auf das Engel Symbol am oberen Rand!
IDS_TEXTCLIENT_INC_001588	Verringert PK Wert
IDS_TEXTCLIENT_INC_001589	Erfülle eine der Bedingungen:
IDS_TEXTCLIENT_INC_001590	Beschwöre Engel
IDS_TEXTCLIENT_INC_001591	Bezüglich der Verschmelzung der Server Cluster ist die Charaktererstellung zur Zeit nicht möglich.
IDS_TEXTCLIENT_INC_001592	Du kannst diesen Coupon nicht verwenden.
IDS_TEXTCLIENT_INC_001593	(Gratis Coupon wurde verwendet!)
IDS_TEXTCLIENT_INC_001594	Du hast einen Gratis Coupon. Willst du ihn jetzt verwenden?
IDS_TEXTCLIENT_INC_001595	Willst du den Gratis Coupon verwenden?
IDS_TEXTCLIENT_INC_001596	Wenn du ihn verwendest, ist er verbraucht!
IDS_TEXTCLIENT_INC_001597	%s gewann bereits %d mal in Folge.
IDS_TEXTCLIENT_INC_001598	Als Belohnung wurde
IDS_TEXTCLIENT_INC_001599	 an die Gildenbank gesendet.
IDS_TEXTCLIENT_INC_001600	Du kannst das Spiel mit einem Schnick Schnack Schnuck Coupon spielen.
IDS_TEXTCLIENT_INC_001601	Möchtest du Schnick Schnack Schnuck spielen?
IDS_TEXTCLIENT_INC_001602	Bitte klick auf den Ende Button, wenn du deine belohnung jetzt möchtest oder klick auf den Weiter Button, wenn dich für die nächste Belohnung der Herausforderung stellen möchtest.\n\n
IDS_TEXTCLIENT_INC_001603	? Du kannst keine Belohnung bekommen, wenn du auf Weiter drückst , daher bedenke deine Wahl genau.
IDS_TEXTCLIENT_INC_001604	Gratulation! Du hast %d mal hinereinander gewonnen, daher erhältst du %s %d als Belohnung.
IDS_TEXTCLIENT_INC_001605	Du hast bei Schnick Schnack Schnuck verloren!
IDS_TEXTCLIENT_INC_001606	Die minimale Anmeldegebühr beträgt %d Penya.
IDS_TEXTCLIENT_INC_001607	Du kannst das Spiel nicht spielen, weil du nichts eingetragen hast. Bitte trag einen Wert ein und versuch es noch einmal.
IDS_TEXTCLIENT_INC_001608	Gratulation! Die Belohnung wurde versendet. Bitte versuch es weiter für unterschiedliche Belohnungen.
IDS_TEXTCLIENT_INC_001609	Leider nicht gewonnen. Bitte versuche es noch einmal.
IDS_TEXTCLIENT_INC_001610	Die %d wurde gewürfelt! Gratulation! Du erhältst %s Penya.
IDS_TEXTCLIENT_INC_001611	Tut mir leid, aber das ist nicht richtig. Versuch es noch einmal.
IDS_TEXTCLIENT_INC_001612	Anmeldegebühr betragt mindestens 10 Penya oder mehr.
IDS_TEXTCLIENT_INC_001613	Schnick Schnack Schnuck
IDS_TEXTCLIENT_INC_001614	Wörterpuzzle
IDS_TEXTCLIENT_INC_001615	Würfelspiel
IDS_TEXTCLIENT_INC_001616	Puzzle
IDS_TEXTCLIENT_INC_001617	Du spielst das Spiel jetzt!
IDS_TEXTCLIENT_INC_001618	Das Item wurde in deinen Briefkasten gesendet, weil du keinen Platz im Inventar hast.
IDS_TEXTCLIENT_INC_001619	Das Item wurde in deinen Briefkasten gesendet, weil du so viel hast, wie ein Charakter besitzen kann.
IDS_TEXTCLIENT_INC_001620	Shining Oricalkum wurde erstellt.
IDS_TEXTCLIENT_INC_001621	Du hast keinen Platz im Inventar. Bitte schaffe Platz in deinem Inventar und versuche es erneut.
IDS_TEXTCLIENT_INC_001622	EXP
IDS_TEXTCLIENT_INC_001623	Suck Blood(HP)
IDS_TEXTCLIENT_INC_001624	Schaden wird erhöht während dem Jagen.
IDS_TEXTCLIENT_INC_001625	Schaden wird erhöht während dem PvP.
IDS_TEXTCLIENT_INC_001626	Bitte platziere hier eine normale Waffe und sie zu einer einzigartigen upgraden zu können.
IDS_TEXTCLIENT_INC_001627	Bitte platziere hier eine einzigartige Waffe um sie zu einer ultimativen Waffe upgraden zu können. Die Waffe sollte +10 sein.
IDS_TEXTCLIENT_INC_001628	Lege Shining Oricalkum hier hinein.
IDS_TEXTCLIENT_INC_001629	Bitte füge hier die Juwelen ein, welche mit dem Item Level übereinstimmen.
IDS_TEXTCLIENT_INC_001630	Pet Füttern
IDS_TEXTCLIENT_INC_001631	Pet Zustand
IDS_TEXTCLIENT_INC_001632	Pet abbrechen
IDS_TEXTCLIENT_INC_001633	Shining Oricalkum herstellen
IDS_TEXTCLIENT_INC_001634	Juwelen einsetzen
IDS_TEXTCLIENT_INC_001635	Gem extrahieren
IDS_TEXTCLIENT_INC_001636	Upgrade zur einzigartigen Waffe
IDS_TEXTCLIENT_INC_001637	Upgrade zur ultimativen Waffe
IDS_TEXTCLIENT_INC_001638	Hero Skill-up
IDS_TEXTCLIENT_INC_001639	Du bist bereits dabei ein Upgrade einer Waffe durchzuführen!
IDS_TEXTCLIENT_INC_001640	Das Fenster ist bereits offen!
IDS_TEXTCLIENT_INC_001641	Du hast erfolgreich Gems miteinander verbunden!
IDS_TEXTCLIENT_INC_001642	Dein Versuch Gems zu verbinden ist fehlgeschlagen.
IDS_TEXTCLIENT_INC_001643	Wenn das Upgrade erfolgreich war, wird der zuletzte erstelle Gem entfernt. Möchtest du den Gem entfernen?
IDS_TEXTCLIENT_INC_001644	Du hast den Gem erfolgreich entfernt!
IDS_TEXTCLIENT_INC_001645	Das Entfernen des Gems ist fehlgeschlagen!
IDS_TEXTCLIENT_INC_001646	Ein Private Shop in dieser Gegend nicht möglich.
IDS_TEXTCLIENT_INC_001647	Heal
IDS_TEXTCLIENT_INC_001648	Das Fenster ist bereits offen!
IDS_TEXTCLIENT_INC_001649	Zustand des Eis
IDS_TEXTCLIENT_INC_001650	D Klasse
IDS_TEXTCLIENT_INC_001651	C Klasse
IDS_TEXTCLIENT_INC_001652	B Klasse
IDS_TEXTCLIENT_INC_001653	A Klasse
IDS_TEXTCLIENT_INC_001654	S Klasse
IDS_TEXTCLIENT_INC_001655	Skill
IDS_TEXTCLIENT_INC_001656	Es kann nicht gefüttert werden!
IDS_TEXTCLIENT_INC_001657	Dieses Item ist anwendbar für Pets von B Class bis S Class.
IDS_TEXTCLIENT_INC_001658	Dieses Item ist anwendbar für Pets von C Class bis S Class.
IDS_TEXTCLIENT_INC_001659	Es wurde kein Pet beschworen.
IDS_TEXTCLIENT_INC_001660	Es kann nicht gefüttert werden!
IDS_TEXTCLIENT_INC_001661	Du kannst das Item nicht benutzen, da du es als Futter trägst.
IDS_TEXTCLIENT_INC_001662	Du kannst kein Cash Shop Item als Futter verwenden.
IDS_TEXTCLIENT_INC_001663	Nur für das Ei verwendbar.
IDS_TEXTCLIENT_INC_001664	Details zu Fehlern der Pet .. ..
IDS_TEXTCLIENT_INC_001665	Das Ei wird direkt in ein zufälliges D-Klasse-Pet verwandelt. Bist du dir sicher?
IDS_TEXTCLIENT_INC_001666	Energie
IDS_TEXTCLIENT_INC_001667	Wie viel Futter möchtest du geben?
IDS_TEXTCLIENT_INC_001668	(Aktiv)
IDS_TEXTCLIENT_INC_001669	Du kannst das Item verwenden, indem du einen Doppelklick darauf machst.
IDS_TEXTCLIENT_INC_001670	Pet Food für das Pet wird automatisch verwendet anstatt HP aufzuzehren.
IDS_TEXTCLIENT_INC_001671	Futtermenge:
IDS_TEXTCLIENT_INC_001672	%d Tag/e
IDS_TEXTCLIENT_INC_001673	%d Std
IDS_TEXTCLIENT_INC_001674	%d Min
IDS_TEXTCLIENT_INC_001675	%d Sek
IDS_TEXTCLIENT_INC_001676	Upgrade zur Unique Waffe
IDS_TEXTCLIENT_INC_001677	Upgrade zur Ultimate Waffe
IDS_TEXTCLIENT_INC_001678	Gutschein einlösen
IDS_TEXTCLIENT_INC_001679	Der Preis ist
IDS_TEXTCLIENT_INC_001680	Der Preis ist
IDS_TEXTCLIENT_INC_001681	Möchtest du deine Haare ändern?
IDS_TEXTCLIENT_INC_001682	Möchtest du dich einer Schönheitsoperation unterziehen?
IDS_TEXTCLIENT_INC_001683	Gewinn
IDS_TEXTCLIENT_INC_001684	Chance
IDS_TEXTCLIENT_INC_001685	Wettkampf
IDS_TEXTCLIENT_INC_001686	Anzahl: %d
IDS_TEXTCLIENT_INC_001687	Gegenstand muss erst deaktiviert werden.
IDS_TEXTCLIENT_INC_001688	Pet Food erstellen
IDS_TEXTCLIENT_INC_001689	Bitte füge das Item ein, das du vernichten möchtest.
IDS_TEXTCLIENT_INC_001690	Itemanzahl bestätigen
IDS_TEXTCLIENT_INC_001691	Wie viele Items möchtest du einsetzen.
IDS_TEXTCLIENT_INC_001692	30,000 Happy Money: 1 Sylia Hoverbike
IDS_TEXTCLIENT_INC_001693	15,000 Happy Money: 1 Plug Ear ring +6 
IDS_TEXTCLIENT_INC_001694	11,300 Happy Money: 1 Meteofy
IDS_TEXTCLIENT_INC_001695	7,500 Happy Money: 1 Frog Set (M)
IDS_TEXTCLIENT_INC_001696	5,300 Happy Money: 1 Soccerball Angel
IDS_TEXTCLIENT_INC_001697	3,800 Happy Money: 1 Pink Balloon
IDS_TEXTCLIENT_INC_001698	3,800 Happy Money: 1 Blue Balloon
IDS_TEXTCLIENT_INC_001699	3,800 Happy Money: 1 Yellow Balloon
IDS_TEXTCLIENT_INC_001700	750 Happy Money: Summon of Party Leader
IDS_TEXTCLIENT_INC_001701	380 Happy Money: 1 Medicine of Happiness 
IDS_TEXTCLIENT_INC_001702	230 Happy Money: 1 Cracker Box
IDS_TEXTCLIENT_INC_001703	150 Happy Money: 1 Cupid Wing
IDS_TEXTCLIENT_INC_001704	80 Happy Money: 1 Mysterious Trans
IDS_TEXTCLIENT_INC_001705	40 Happy Money: 1 Goodbye Bomb
IDS_TEXTCLIENT_INC_001706	Willkommen im Happy Store! Du kannst hier aus einer Vielzahl mysteriöser Gegenstände wählen.
IDS_TEXTCLIENT_INC_001707	Du kannst hier nur mit Happy Money einkaufen.
IDS_TEXTCLIENT_INC_001708	Ich hoffe du bist mit allem zufrieden, was du tust!
