IDS_PROPMOVER_TXT_000000	Default
IDS_PROPMOVER_TXT_000590	Mutant Nyangnyang
IDS_PROPMOVER_TXT_000591	
IDS_PROPMOVER_TXT_000592	Mutant Nyangnyang Queen
IDS_PROPMOVER_TXT_000593	
IDS_PROPMOVER_TXT_000594	Mutant Giant Nyangnyang
IDS_PROPMOVER_TXT_000595	
IDS_PROPMOVER_TXT_000596	Mutant Bang
IDS_PROPMOVER_TXT_000597	
IDS_PROPMOVER_TXT_000598	Mutant Boss Bang
IDS_PROPMOVER_TXT_000599	
IDS_PROPMOVER_TXT_000600	Mutant Giant Bang King
IDS_PROPMOVER_TXT_000601	
IDS_PROPMOVER_TXT_000602	Worm Veduque
IDS_PROPMOVER_TXT_000603	
IDS_PROPMOVER_TXT_000604	Serus Uriel
IDS_PROPMOVER_TXT_000605	
IDS_PROPMOVER_TXT_000606	Vice Veduque
IDS_PROPMOVER_TXT_000607	
IDS_PROPMOVER_TXT_000608	Brazenface Pukepuke
IDS_PROPMOVER_TXT_000609	
IDS_PROPMOVER_TXT_000610	Heartless Bang
IDS_PROPMOVER_TXT_000611	
IDS_PROPMOVER_TXT_000612	Tough RockMuscle
IDS_PROPMOVER_TXT_000613	
IDS_PROPMOVER_TXT_000614	Flying Aibatt
IDS_PROPMOVER_TXT_000615	
IDS_PROPMOVER_TXT_000616	Beast Mr Pumpkin
IDS_PROPMOVER_TXT_000617	
IDS_PROPMOVER_TXT_000618	Master Demian
IDS_PROPMOVER_TXT_000619	
IDS_PROPMOVER_TXT_000620	Master Keakoon
IDS_PROPMOVER_TXT_000621	
IDS_PROPMOVER_TXT_000622	Master Muffrin
IDS_PROPMOVER_TXT_000623	
IDS_PROPMOVER_TXT_000624	Info Pang
IDS_PROPMOVER_TXT_000625	
IDS_PROPMOVER_TXT_000626	Losha
IDS_PROPMOVER_TXT_000627	
IDS_PROPMOVER_TXT_000628	Boboku
IDS_PROPMOVER_TXT_000629	
IDS_PROPMOVER_TXT_000630	Juria
IDS_PROPMOVER_TXT_000631	
IDS_PROPMOVER_TXT_000632	Lui
IDS_PROPMOVER_TXT_000633	
IDS_PROPMOVER_TXT_000634	Marche
IDS_PROPMOVER_TXT_000635	
IDS_PROPMOVER_TXT_000636	Bulrox
IDS_PROPMOVER_TXT_000637	
IDS_PROPMOVER_TXT_000638	Tina
IDS_PROPMOVER_TXT_000639	
IDS_PROPMOVER_TXT_000640	Karin
IDS_PROPMOVER_TXT_000641	
IDS_PROPMOVER_TXT_000642	Martin
IDS_PROPMOVER_TXT_000643	
IDS_PROPMOVER_TXT_000644	Bill
IDS_PROPMOVER_TXT_000645	
IDS_PROPMOVER_TXT_000646	Dwarpet
IDS_PROPMOVER_TXT_000647	
IDS_PROPMOVER_TXT_000648	Master Dwarpet
IDS_PROPMOVER_TXT_000649	
IDS_PROPMOVER_TXT_000650	Ivillis
IDS_PROPMOVER_TXT_000651	
IDS_PROPMOVER_TXT_000652	Shade
IDS_PROPMOVER_TXT_000653	
IDS_PROPMOVER_TXT_000654	Stima
IDS_PROPMOVER_TXT_000655	
IDS_PROPMOVER_TXT_000656	Phacham
IDS_PROPMOVER_TXT_000657	
IDS_PROPMOVER_TXT_000658	Bubble
IDS_PROPMOVER_TXT_000659	
IDS_PROPMOVER_TXT_000660	Rhine
IDS_PROPMOVER_TXT_000661	
IDS_PROPMOVER_TXT_000662	Roocky
IDS_PROPMOVER_TXT_000663	
IDS_PROPMOVER_TXT_000664	Ollien
IDS_PROPMOVER_TXT_000665	
IDS_PROPMOVER_TXT_000666	Haven
IDS_PROPMOVER_TXT_000667	
IDS_PROPMOVER_TXT_000668	Andrew
IDS_PROPMOVER_TXT_000669	
IDS_PROPMOVER_TXT_000670	Bolpor
IDS_PROPMOVER_TXT_000671	
IDS_PROPMOVER_TXT_000672	Almani
IDS_PROPMOVER_TXT_000673	
IDS_PROPMOVER_TXT_000674	Achaben
IDS_PROPMOVER_TXT_000675	
IDS_PROPMOVER_TXT_000676	Eshylop
IDS_PROPMOVER_TXT_000677	
IDS_PROPMOVER_TXT_000678	Remine
IDS_PROPMOVER_TXT_000679	
IDS_PROPMOVER_TXT_000680	Unknown
IDS_PROPMOVER_TXT_000681	
IDS_PROPMOVER_TXT_000682	Agent
IDS_PROPMOVER_TXT_000683	
IDS_PROPMOVER_TXT_000684	Ancimys
IDS_PROPMOVER_TXT_000685	
IDS_PROPMOVER_TXT_000686	Guardian
IDS_PROPMOVER_TXT_000687	
IDS_PROPMOVER_TXT_000688	Captain Guard
IDS_PROPMOVER_TXT_000689	
IDS_PROPMOVER_TXT_000690	Hit Me Vagrant One More Time
IDS_PROPMOVER_TXT_000691	
IDS_PROPMOVER_TXT_000692	Venel Guardian
IDS_PROPMOVER_TXT_000693	
IDS_PROPMOVER_TXT_000694	Ren
IDS_PROPMOVER_TXT_000695	
IDS_PROPMOVER_TXT_000696	Rubo
IDS_PROPMOVER_TXT_000697	
IDS_PROPMOVER_TXT_000698	Sisif
IDS_PROPMOVER_TXT_000699	
IDS_PROPMOVER_TXT_000700	Shuraiture
IDS_PROPMOVER_TXT_000701	
IDS_PROPMOVER_TXT_000702	Babari
IDS_PROPMOVER_TXT_000703	
IDS_PROPMOVER_TXT_000704	Chaner
IDS_PROPMOVER_TXT_000705	
IDS_PROPMOVER_TXT_000706	Seido
IDS_PROPMOVER_TXT_000707	
IDS_PROPMOVER_TXT_000708	Troupe Member of Red Bang
IDS_PROPMOVER_TXT_000709	
IDS_PROPMOVER_TXT_000710	Emeraldmantis
IDS_PROPMOVER_TXT_000711	
IDS_PROPMOVER_TXT_000712	Lord Bang Hanoyan
IDS_PROPMOVER_TXT_000713	
IDS_PROPMOVER_TXT_000714	Member of Violet Magician Troupe
IDS_PROPMOVER_TXT_000715	
IDS_PROPMOVER_TXT_000716	Master of Violet Magician Troupe
IDS_PROPMOVER_TXT_000717	
IDS_PROPMOVER_TXT_000718	ArcMaster of Violet Magician Troupe
IDS_PROPMOVER_TXT_000719	
IDS_PROPMOVER_TXT_000720	Troupe Leader of Red Bang
IDS_PROPMOVER_TXT_000721	
IDS_PROPMOVER_TXT_000722	Lord Bang
IDS_PROPMOVER_TXT_000723	
IDS_PROPMOVER_TXT_000724	Organigor
IDS_PROPMOVER_TXT_000725	
IDS_PROPMOVER_TXT_000726	Gangard
IDS_PROPMOVER_TXT_000727	
IDS_PROPMOVER_TXT_000728	Hadeseor
IDS_PROPMOVER_TXT_000729	
IDS_PROPMOVER_TXT_000730	Weihnachtsmann
IDS_PROPMOVER_TXT_000731	
IDS_PROPMOVER_TXT_000732	Priester
IDS_PROPMOVER_TXT_000733	
IDS_PROPMOVER_TXT_000734	Stadtwache
IDS_PROPMOVER_TXT_000735	
IDS_PROPMOVER_TXT_000736	Chao Stadtwache
IDS_PROPMOVER_TXT_000737	
IDS_PROPMOVER_TXT_000738	Criminal Fefern
IDS_PROPMOVER_TXT_000739	
IDS_PROPMOVER_TXT_000740	Criminal Wagsaac
IDS_PROPMOVER_TXT_000741	
IDS_PROPMOVER_TXT_000742	Criminal Mr Pumpkin
IDS_PROPMOVER_TXT_000743	
IDS_PROPMOVER_TXT_000744	Criminal Gigglebox
IDS_PROPMOVER_TXT_000745	
IDS_PROPMOVER_TXT_000746	Criminal Hobo
IDS_PROPMOVER_TXT_000747	
IDS_PROPMOVER_TXT_000748	Criminal Cardpuppet
IDS_PROPMOVER_TXT_000749	
IDS_PROPMOVER_TXT_000750	Criminal Basque
IDS_PROPMOVER_TXT_000751	
IDS_PROPMOVER_TXT_000752	Criminal Leyena
IDS_PROPMOVER_TXT_000753	
IDS_PROPMOVER_TXT_000754	Criminal Steel Knight
IDS_PROPMOVER_TXT_000755	
IDS_PROPMOVER_TXT_000756	Criminal Volt
IDS_PROPMOVER_TXT_000757	
IDS_PROPMOVER_TXT_000758	Criminal Garbagespider
IDS_PROPMOVER_TXT_000759	
IDS_PROPMOVER_TXT_000760	Criminal Greemong
IDS_PROPMOVER_TXT_000761	
IDS_PROPMOVER_TXT_000762	Criminal Hopper
IDS_PROPMOVER_TXT_000763	
IDS_PROPMOVER_TXT_000764	Criminal Iren
IDS_PROPMOVER_TXT_000765	
IDS_PROPMOVER_TXT_000766	Criminal Watangka
IDS_PROPMOVER_TXT_000767	
IDS_PROPMOVER_TXT_000768	Criminal Luia
IDS_PROPMOVER_TXT_000769	
IDS_PROPMOVER_TXT_000770	Criminal Shuhamma
IDS_PROPMOVER_TXT_000771	
IDS_PROPMOVER_TXT_000772	Criminal Glaphan
IDS_PROPMOVER_TXT_000773	
IDS_PROPMOVER_TXT_000774	Keakoon Worker
IDS_PROPMOVER_TXT_000775	
IDS_PROPMOVER_TXT_000776	Keakoon Guard
IDS_PROPMOVER_TXT_000777	
IDS_PROPMOVER_TXT_000778	Keakoon Worker Leader
IDS_PROPMOVER_TXT_000779	
IDS_PROPMOVER_TXT_000780	Keakoon Guard Leader
IDS_PROPMOVER_TXT_000781	
IDS_PROPMOVER_TXT_000782	Elite Keakoon Worker
IDS_PROPMOVER_TXT_000783	
IDS_PROPMOVER_TXT_000784	Elite Keakoon Guard
IDS_PROPMOVER_TXT_000785	
IDS_PROPMOVER_TXT_000786	Elite Keakoon Worker Leader
IDS_PROPMOVER_TXT_000787	
IDS_PROPMOVER_TXT_000788	Elite Keakoon Guard Leader
IDS_PROPMOVER_TXT_000789	
IDS_PROPMOVER_TXT_000790	Mutant Keakoon Worker
IDS_PROPMOVER_TXT_000791	
IDS_PROPMOVER_TXT_000792	Mutant Keakoon Guard
IDS_PROPMOVER_TXT_000793	
IDS_PROPMOVER_TXT_000794	Mutant Keakoon Worker Leader
IDS_PROPMOVER_TXT_000795	
IDS_PROPMOVER_TXT_000796	Mutant Keakoon Guard Leader
IDS_PROPMOVER_TXT_000797	
IDS_PROPMOVER_TXT_000798	Pinky Roach
IDS_PROPMOVER_TXT_000799	
IDS_PROPMOVER_TXT_000800	Blue Roach
IDS_PROPMOVER_TXT_000801	
IDS_PROPMOVER_TXT_000802	Pinky Roach Queen
IDS_PROPMOVER_TXT_000803	
IDS_PROPMOVER_TXT_000804	Blue Roach Queen
IDS_PROPMOVER_TXT_000805	
IDS_PROPMOVER_TXT_000806	Pinky Roach Larva
IDS_PROPMOVER_TXT_000807	
IDS_PROPMOVER_TXT_000808	Blue Roach Larva
IDS_PROPMOVER_TXT_000809	
IDS_PROPMOVER_TXT_000810	Green Trillipy
IDS_PROPMOVER_TXT_000811	
IDS_PROPMOVER_TXT_000812	Hazard Green Trillipy
IDS_PROPMOVER_TXT_000813	
IDS_PROPMOVER_TXT_000814	Violet Trillipy
IDS_PROPMOVER_TXT_000815	
IDS_PROPMOVER_TXT_000816	Hazard Violet Trillipy
IDS_PROPMOVER_TXT_000817	
IDS_PROPMOVER_TXT_000818	Blood Trillipy
IDS_PROPMOVER_TXT_000819	
IDS_PROPMOVER_TXT_000820	Hazard Blood Trillipy
IDS_PROPMOVER_TXT_000821	
IDS_PROPMOVER_TXT_000822	Kimeradon
IDS_PROPMOVER_TXT_000823	
IDS_PROPMOVER_TXT_000824	Giant Kimeradon
IDS_PROPMOVER_TXT_000825	
IDS_PROPMOVER_TXT_000826	Meteonyker
IDS_PROPMOVER_TXT_000827	
IDS_PROPMOVER_TXT_000828	Baby Lawolf
IDS_PROPMOVER_TXT_000829	
IDS_PROPMOVER_TXT_000830	Baby Aibatt
IDS_PROPMOVER_TXT_000831	
IDS_PROPMOVER_TXT_000832	Baby Leyena
IDS_PROPMOVER_TXT_000833	
IDS_PROPMOVER_TXT_000834	Baby Luia
IDS_PROPMOVER_TXT_000835	
IDS_PROPMOVER_TXT_000836	Kitty
IDS_PROPMOVER_TXT_000837	
IDS_PROPMOVER_TXT_000838	Doggy
IDS_PROPMOVER_TXT_000839	
IDS_PROPMOVER_TXT_000840	Ant Turtle
IDS_PROPMOVER_TXT_000841	
IDS_PROPMOVER_TXT_000842	Hammer Kick
IDS_PROPMOVER_TXT_000843	
IDS_PROPMOVER_TXT_000844	Big Muscle
IDS_PROPMOVER_TXT_000845	
IDS_PROPMOVER_TXT_000846	Krrr
IDS_PROPMOVER_TXT_000847	
IDS_PROPMOVER_TXT_000848	Mushmoot
IDS_PROPMOVER_TXT_000849	
IDS_PROPMOVER_TXT_000850	Small Mushpoie
IDS_PROPMOVER_TXT_000851	
IDS_PROPMOVER_TXT_000852	Beast Zombiger
IDS_PROPMOVER_TXT_000853	
IDS_PROPMOVER_TXT_000854	Lord Clockworks Alpha
IDS_PROPMOVER_TXT_000855	
IDS_PROPMOVER_TXT_000856	Brigadier General Crumple
IDS_PROPMOVER_TXT_000857	
IDS_PROPMOVER_TXT_000858	Lieutenant General Scythoid
IDS_PROPMOVER_TXT_000859	
IDS_PROPMOVER_TXT_000860	Air Marshal Spiketail
IDS_PROPMOVER_TXT_000861	
IDS_PROPMOVER_TXT_000862	General Glyphaxz
IDS_PROPMOVER_TXT_000863	
IDS_PROPMOVER_TXT_000864	Mother Yorn
IDS_PROPMOVER_TXT_000865	
IDS_PROPMOVER_TXT_000866	Soccerball Angel
IDS_PROPMOVER_TXT_000867	
IDS_PROPMOVER_TXT_000868	Kidster
IDS_PROPMOVER_TXT_000869	
IDS_PROPMOVER_TXT_000870	Shacalpion
IDS_PROPMOVER_TXT_000871	
IDS_PROPMOVER_TXT_000872	Hoiren
IDS_PROPMOVER_TXT_000873	
IDS_PROPMOVER_TXT_000874	Hunter X
IDS_PROPMOVER_TXT_000875	
IDS_PROPMOVER_TXT_000876	Kynsy
IDS_PROPMOVER_TXT_000877	
IDS_PROPMOVER_TXT_000878	Ivillis Crasher
IDS_PROPMOVER_TXT_000879	
IDS_PROPMOVER_TXT_000880	Ivillis Poisoner
IDS_PROPMOVER_TXT_000881	
IDS_PROPMOVER_TXT_000882	Ivillis Recker
IDS_PROPMOVER_TXT_000883	
IDS_PROPMOVER_TXT_000884	Ivillis Dozer
IDS_PROPMOVER_TXT_000885	
IDS_PROPMOVER_TXT_000886	Ivillis Puppet
IDS_PROPMOVER_TXT_000887	
IDS_PROPMOVER_TXT_000888	Ivillis Taker
IDS_PROPMOVER_TXT_000889	
IDS_PROPMOVER_TXT_000890	Ivillis Guarder
IDS_PROPMOVER_TXT_000891	
IDS_PROPMOVER_TXT_000892	Ivillis Quaker
IDS_PROPMOVER_TXT_000893	
IDS_PROPMOVER_TXT_000894	Ivillis Mushellizer
IDS_PROPMOVER_TXT_000895	
IDS_PROPMOVER_TXT_000896	Ivillis Leanes
IDS_PROPMOVER_TXT_000897	
IDS_PROPMOVER_TXT_000898	Ivillis Red Totem
IDS_PROPMOVER_TXT_000899	
IDS_PROPMOVER_TXT_000900	Ivillis Black Totem
IDS_PROPMOVER_TXT_000901	
IDS_PROPMOVER_TXT_000902	Ivillis Boxter
IDS_PROPMOVER_TXT_000903	
IDS_PROPMOVER_TXT_000904	Ivillis Dandysher
IDS_PROPMOVER_TXT_000905	
IDS_PROPMOVER_TXT_000906	Cheetos
IDS_PROPMOVER_TXT_000907	
IDS_PROPMOVER_TXT_000908	Clocks
IDS_PROPMOVER_TXT_000909	
IDS_PROPMOVER_TXT_000910	Soldier Chimeradon
IDS_PROPMOVER_TXT_000911	
IDS_PROPMOVER_TXT_000912	Brigadier Chimeradon
IDS_PROPMOVER_TXT_000913	
IDS_PROPMOVER_TXT_000914	Major Chimeradon
IDS_PROPMOVER_TXT_000915	
IDS_PROPMOVER_TXT_000916	Lieutenant Chimeradon
IDS_PROPMOVER_TXT_000917	
IDS_PROPMOVER_TXT_000918	General Chimeradon
IDS_PROPMOVER_TXT_000919	
IDS_PROPMOVER_TXT_000920	Private Bearnerky
IDS_PROPMOVER_TXT_000921	
IDS_PROPMOVER_TXT_000922	Specialist Bearnerky
IDS_PROPMOVER_TXT_000923	
IDS_PROPMOVER_TXT_000924	Sergeant Bearnerky
IDS_PROPMOVER_TXT_000925	
IDS_PROPMOVER_TXT_000926	Captain Bearnerky
IDS_PROPMOVER_TXT_000927	
IDS_PROPMOVER_TXT_000928	General Bearnerky
IDS_PROPMOVER_TXT_000929	
IDS_PROPMOVER_TXT_000930	Great Chef Muffrin
IDS_PROPMOVER_TXT_000931	
IDS_PROPMOVER_TXT_000932	Queen Popcrank
IDS_PROPMOVER_TXT_000933	
IDS_PROPMOVER_TXT_000934	Baby Polar Bear
IDS_PROPMOVER_TXT_000935	
IDS_PROPMOVER_TXT_000936	Polar Bear
IDS_PROPMOVER_TXT_000937	
IDS_PROPMOVER_TXT_000938	Red Angel
IDS_PROPMOVER_TXT_000939	
IDS_PROPMOVER_TXT_000940	Blue Angel
IDS_PROPMOVER_TXT_000941	
IDS_PROPMOVER_TXT_000942	Green Angel
IDS_PROPMOVER_TXT_000943	
IDS_PROPMOVER_TXT_000944	White Angel
IDS_PROPMOVER_TXT_000945	
IDS_PROPMOVER_TXT_000946	Briefkasten
IDS_PROPMOVER_TXT_000947	
IDS_PROPMOVER_TXT_000948	Red Meteonyker
IDS_PROPMOVER_TXT_000949	
IDS_PROPMOVER_TXT_000950	Blue Meteonyker
IDS_PROPMOVER_TXT_000951	
IDS_PROPMOVER_TXT_000952	Green Meteonyker
IDS_PROPMOVER_TXT_000953	
IDS_PROPMOVER_TXT_000954	Baby Penguin
IDS_PROPMOVER_TXT_000955	
IDS_PROPMOVER_TXT_000956	Baby Iguana
IDS_PROPMOVER_TXT_000957	
IDS_PROPMOVER_TXT_000958	Baby Cobra
IDS_PROPMOVER_TXT_000959	
IDS_PROPMOVER_TXT_000960	Egg
IDS_PROPMOVER_TXT_000961	
IDS_PROPMOVER_TXT_000962	[General] Behemoth
IDS_PROPMOVER_TXT_000963	
IDS_PROPMOVER_TXT_000964	[Strong] Behemoth
IDS_PROPMOVER_TXT_000965	
IDS_PROPMOVER_TXT_000966	[General] Hell Lion
IDS_PROPMOVER_TXT_000967	
IDS_PROPMOVER_TXT_000968	[Powerful] Hell Lion
IDS_PROPMOVER_TXT_000969	
IDS_PROPMOVER_TXT_000970	[General] Jackalope
IDS_PROPMOVER_TXT_000971	
IDS_PROPMOVER_TXT_000972	[Speedy] Jackalope
IDS_PROPMOVER_TXT_000973	
IDS_PROPMOVER_TXT_000974	[General] Bahamuth
IDS_PROPMOVER_TXT_000975	
IDS_PROPMOVER_TXT_000976	[Brave] Bahamuth
IDS_PROPMOVER_TXT_000977	
IDS_PROPMOVER_TXT_000978	[General] Nightmare
IDS_PROPMOVER_TXT_000979	
IDS_PROPMOVER_TXT_000980	[Holy] Nightmare
IDS_PROPMOVER_TXT_000981	
IDS_PROPMOVER_TXT_000982	[General] Reinecke
IDS_PROPMOVER_TXT_000983	
IDS_PROPMOVER_TXT_000984	[Smart] Reinecke
IDS_PROPMOVER_TXT_000985	
IDS_PROPMOVER_TXT_000986	[General] Hippogriph
IDS_PROPMOVER_TXT_000987	
IDS_PROPMOVER_TXT_000988	[Veteran] Hippogriph
IDS_PROPMOVER_TXT_000989	
IDS_PROPMOVER_TXT_000990	Psyclope X
IDS_PROPMOVER_TXT_000991	
IDS_PROPMOVER_TXT_000992	Geheimnisvoller Mönch
IDS_PROPMOVER_TXT_000993	
IDS_PROPMOVER_TXT_000994	Geheimnisvolle Nonne
IDS_PROPMOVER_TXT_000995	
IDS_PROPMOVER_TXT_000996	Glücksspieler
IDS_PROPMOVER_TXT_000997	
IDS_PROPMOVER_TXT_000998	Edward der Friseur
IDS_PROPMOVER_TXT_000999	
IDS_PROPMOVER_TXT_001000	Roobie
IDS_PROPMOVER_TXT_001001	
IDS_PROPMOVER_TXT_001002	Pet Tamer
IDS_PROPMOVER_TXT_001003	
IDS_PROPMOVER_TXT_001004	Dancer
IDS_PROPMOVER_TXT_001005	
IDS_PROPMOVER_TXT_001006	Miss Flyff
IDS_PROPMOVER_TXT_001007	
IDS_PROPMOVER_TXT_001008	Mister Flyff
IDS_PROPMOVER_TXT_001009	
IDS_PROPMOVER_TXT_001010	[Super] Behemoth
IDS_PROPMOVER_TXT_001011	
IDS_PROPMOVER_TXT_001012	[Super] Hell Lion
IDS_PROPMOVER_TXT_001013	
IDS_PROPMOVER_TXT_001014	[Super] Jackalope
IDS_PROPMOVER_TXT_001015	
IDS_PROPMOVER_TXT_001016	[Super] Bahamuth
IDS_PROPMOVER_TXT_001017	
IDS_PROPMOVER_TXT_001018	[Super] Nightmare
IDS_PROPMOVER_TXT_001019	
IDS_PROPMOVER_TXT_001020	[Super] Reinecke
IDS_PROPMOVER_TXT_001021	
IDS_PROPMOVER_TXT_001022	[Super] Hippogryph
IDS_PROPMOVER_TXT_001023	
IDS_PROPMOVER_TXT_001024	Baby Frog
IDS_PROPMOVER_TXT_001025	
IDS_PROPMOVER_TXT_001026	Delicious Hamburger
IDS_PROPMOVER_TXT_001027	
IDS_PROPMOVER_TXT_001028	Baby Turtle
IDS_PROPMOVER_TXT_001029	
IDS_PROPMOVER_TXT_001030	Priester der Beichte
IDS_PROPMOVER_TXT_001031	
IDS_PROPMOVER_TXT_001032	Geheimnisvoller Mönch
IDS_PROPMOVER_TXT_001033	
IDS_PROPMOVER_TXT_001034	Brave Chicken
IDS_PROPMOVER_TXT_001035	
IDS_PROPMOVER_TXT_001036	Baby Cow
IDS_PROPMOVER_TXT_001037	
IDS_PROPMOVER_TXT_001038	Beagle
IDS_PROPMOVER_TXT_001039	
IDS_PROPMOVER_TXT_001040	Baby Dragon
IDS_PROPMOVER_TXT_001041	
IDS_PROPMOVER_TXT_001042	Baby Hamster
IDS_PROPMOVER_TXT_001043	
IDS_PROPMOVER_TXT_001044	Pony
IDS_PROPMOVER_TXT_001045	
IDS_PROPMOVER_TXT_001046	Joker Monkey
IDS_PROPMOVER_TXT_001047	
IDS_PROPMOVER_TXT_001048	Piggy
IDS_PROPMOVER_TXT_001049	
IDS_PROPMOVER_TXT_001050	Baby Rabbit
IDS_PROPMOVER_TXT_001051	
IDS_PROPMOVER_TXT_001052	Baby Lamb
IDS_PROPMOVER_TXT_001053	
IDS_PROPMOVER_TXT_001054	Strong Tiger
IDS_PROPMOVER_TXT_001055	
IDS_PROPMOVER_TXT_001056	Yeti
IDS_PROPMOVER_TXT_001057	
IDS_PROPMOVER_TXT_001058	Mutant Yeti
IDS_PROPMOVER_TXT_001059	
IDS_PROPMOVER_TXT_001060	Augu
IDS_PROPMOVER_TXT_001061	
IDS_PROPMOVER_TXT_001062	Mutant Augu
IDS_PROPMOVER_TXT_001063	
IDS_PROPMOVER_TXT_001064	Ghost of the Forgotten Prince
IDS_PROPMOVER_TXT_001065	
IDS_PROPMOVER_TXT_001066	Ghost of the Forgotten King
IDS_PROPMOVER_TXT_001067	
IDS_PROPMOVER_TXT_001068	Waforu
IDS_PROPMOVER_TXT_001069	
IDS_PROPMOVER_TXT_001070	Mammoth 
IDS_PROPMOVER_TXT_001071	
IDS_PROPMOVER_TXT_001072	Cannibal Mammoth
IDS_PROPMOVER_TXT_001073	
IDS_PROPMOVER_TXT_001074	Collins
IDS_PROPMOVER_TXT_001075	
IDS_PROPMOVER_TXT_001076	Little Maid Cardpuppet
IDS_PROPMOVER_TXT_001077	
IDS_PROPMOVER_TXT_001078	Little Mia
IDS_PROPMOVER_TXT_001079	
IDS_PROPMOVER_TXT_001080	Brave Black Dragon
IDS_PROPMOVER_TXT_001081	
IDS_PROPMOVER_TXT_001082	Mighty B
IDS_PROPMOVER_TXT_001083	
IDS_PROPMOVER_TXT_001084	Verwirrtes Ameno
IDS_PROPMOVER_TXT_001085	
IDS_PROPMOVER_TXT_001086	GM ???
IDS_PROPMOVER_TXT_001087	
IDS_PROPMOVER_TXT_001088	Magi Bot
IDS_PROPMOVER_TXT_001089	
IDS_PROPMOVER_TXT_001090	Prepaid Card
IDS_PROPMOVER_TXT_001091	
IDS_PROPMOVER_TXT_001092	Small Catsy
IDS_PROPMOVER_TXT_001093	
IDS_PROPMOVER_TXT_001094	Catsy
IDS_PROPMOVER_TXT_001095	
IDS_PROPMOVER_TXT_001096	Captain Catsy
IDS_PROPMOVER_TXT_001097	
IDS_PROPMOVER_TXT_001098	Giant Catsy
IDS_PROPMOVER_TXT_001099	
IDS_PROPMOVER_TXT_001100	Small Devia
IDS_PROPMOVER_TXT_001101	
IDS_PROPMOVER_TXT_001102	Devia
IDS_PROPMOVER_TXT_001103	
IDS_PROPMOVER_TXT_001104	Captain Devia
IDS_PROPMOVER_TXT_001105	
IDS_PROPMOVER_TXT_001106	Giant Devia
IDS_PROPMOVER_TXT_001107	
IDS_PROPMOVER_TXT_001108	Small Gullah
IDS_PROPMOVER_TXT_001109	
IDS_PROPMOVER_TXT_001110	Gullah
IDS_PROPMOVER_TXT_001111	
IDS_PROPMOVER_TXT_001112	Captain Gullah
IDS_PROPMOVER_TXT_001113	
IDS_PROPMOVER_TXT_001114	Giant Gullah
IDS_PROPMOVER_TXT_001115	
IDS_PROPMOVER_TXT_001116	Small Abraxas
IDS_PROPMOVER_TXT_001117	
IDS_PROPMOVER_TXT_001118	Abraxas
IDS_PROPMOVER_TXT_001119	
IDS_PROPMOVER_TXT_001120	Captain Abraxas
IDS_PROPMOVER_TXT_001121	
IDS_PROPMOVER_TXT_001122	Giant Abraxas
IDS_PROPMOVER_TXT_001123	
IDS_PROPMOVER_TXT_001124	Small Hague
IDS_PROPMOVER_TXT_001125	
IDS_PROPMOVER_TXT_001126	Hague
IDS_PROPMOVER_TXT_001127	
IDS_PROPMOVER_TXT_001128	Captain Hague
IDS_PROPMOVER_TXT_001129	
IDS_PROPMOVER_TXT_001130	Giant Hague
IDS_PROPMOVER_TXT_001131	
IDS_PROPMOVER_TXT_001132	Small Tote
IDS_PROPMOVER_TXT_001133	
IDS_PROPMOVER_TXT_001134	Tote
IDS_PROPMOVER_TXT_001135	
IDS_PROPMOVER_TXT_001136	Captain Tote
IDS_PROPMOVER_TXT_001137	
IDS_PROPMOVER_TXT_001138	Giante Tote
IDS_PROPMOVER_TXT_001139	
IDS_PROPMOVER_TXT_001140	Small Asterius
IDS_PROPMOVER_TXT_001141	
IDS_PROPMOVER_TXT_001142	Asterius
IDS_PROPMOVER_TXT_001143	
IDS_PROPMOVER_TXT_001144	Captain Asterius
IDS_PROPMOVER_TXT_001145	
IDS_PROPMOVER_TXT_001146	Giant Asterius
IDS_PROPMOVER_TXT_001147	
IDS_PROPMOVER_TXT_001148	Small Dantalian
IDS_PROPMOVER_TXT_001149	
IDS_PROPMOVER_TXT_001150	Dantalian
IDS_PROPMOVER_TXT_001151	
IDS_PROPMOVER_TXT_001152	Captain Dantalian
IDS_PROPMOVER_TXT_001153	
IDS_PROPMOVER_TXT_001154	Giant Dantalian
IDS_PROPMOVER_TXT_001155	
IDS_PROPMOVER_TXT_001156	Small Gannessa
IDS_PROPMOVER_TXT_001157	
IDS_PROPMOVER_TXT_001158	Gannessa
IDS_PROPMOVER_TXT_001159	
IDS_PROPMOVER_TXT_001160	Captain Gannessa
IDS_PROPMOVER_TXT_001161	
IDS_PROPMOVER_TXT_001162	Giant Gannessa
IDS_PROPMOVER_TXT_001163	
IDS_PROPMOVER_TXT_001164	Small Gorgoth
IDS_PROPMOVER_TXT_001165	
IDS_PROPMOVER_TXT_001166	Gorgoth
IDS_PROPMOVER_TXT_001167	
IDS_PROPMOVER_TXT_001168	Captain Gorgoth
IDS_PROPMOVER_TXT_001169	
IDS_PROPMOVER_TXT_001170	Giant Gorgoth
IDS_PROPMOVER_TXT_001171	
IDS_PROPMOVER_TXT_001172	Small Catsy
IDS_PROPMOVER_TXT_001173	
IDS_PROPMOVER_TXT_001174	Catsy
IDS_PROPMOVER_TXT_001175	
IDS_PROPMOVER_TXT_001176	Captain Catsy
IDS_PROPMOVER_TXT_001177	
