IDS_PROPITEM_TXT_000000	Default
IDS_PROPITEM_TXT_005430	Book of Hero Combat2 (Blade)
IDS_PROPITEM_TXT_005431	(Questitem) Das Buch der Heldenkriege - Blade
IDS_PROPITEM_TXT_005432	Book of Hero Combat3 (Billposter)
IDS_PROPITEM_TXT_005433	(Questitem) Das Buch der Heldenkriege - Billposter
IDS_PROPITEM_TXT_005434	Book of Hero Combat4 (Ringmaster)
IDS_PROPITEM_TXT_005435	(Questitem) Das Buch der Heldenkriege - Ringmaster
IDS_PROPITEM_TXT_005436	Book of Hero Combat5 (Psykeeper)
IDS_PROPITEM_TXT_005437	(Questitem) Das Buch der Heldenkriege - Psykeeper
IDS_PROPITEM_TXT_005438	Book of Hero Combat6 (Elementor)
IDS_PROPITEM_TXT_005439	(Questitem) Das Buch der Heldenkriege - Elementor
IDS_PROPITEM_TXT_005440	Trace of Hero1 (Knight)
IDS_PROPITEM_TXT_005441	(Questitem) Die Spur des Helden - Knight
IDS_PROPITEM_TXT_005442	Trace of Hero2 (Blade)
IDS_PROPITEM_TXT_005443	(Questitem) Die Spur des Helden - Blade
IDS_PROPITEM_TXT_005444	Trace of Hero3 (Billposter)
IDS_PROPITEM_TXT_005445	(Questitem) Die Spur des Helden - Billposter
IDS_PROPITEM_TXT_005446	Trace of Hero4 (Ringmaster)
IDS_PROPITEM_TXT_005447	(Questitem) Die Spur des Helden - Ringmaster
IDS_PROPITEM_TXT_005448	Trace of Hero5 (Psykeeper)
IDS_PROPITEM_TXT_005449	(Questitem) Die Spur des Helden - Psykeeper
IDS_PROPITEM_TXT_005450	Trace of Hero6 (Elementor)
IDS_PROPITEM_TXT_005451	(Questitem) Die Spur des Helden - Elementor
IDS_PROPITEM_TXT_005452	History of Hero Life1 (Knight Billeien)
IDS_PROPITEM_TXT_005453	(Questitem) Die Geschichte über das Leben des Helden - Knight Billeien
IDS_PROPITEM_TXT_005454	History of Hero Life2 (Blade Heren)
IDS_PROPITEM_TXT_005455	(Questitem) Die Geschichte über das Leben des Helden - Blade Heren
IDS_PROPITEM_TXT_005456	History of Hero Life3 (Billposter Roentel)
IDS_PROPITEM_TXT_005457	(Questitem) Die Geschichte über das Leben des Helden - Billposter Roentel
IDS_PROPITEM_TXT_005458	History of Hero Life4 (Ringmaster Eiene)
IDS_PROPITEM_TXT_005459	(Questitem) Die Geschichte über das Leben des Helden - Ringmaster Eiene
IDS_PROPITEM_TXT_005460	History of Hero Life5 (Psykeeper Eiene)
IDS_PROPITEM_TXT_005461	(Questitem) Die Geschichte über das Leben des Helden - Psykeeper Eiene
IDS_PROPITEM_TXT_005462	History of Hero Life6 (Elementor Lylip)
IDS_PROPITEM_TXT_005463	(Questitem) Die Geschichte über das Leben des Helden - Elementor Lylip
IDS_PROPITEM_TXT_005464	Soulstone of Hero
IDS_PROPITEM_TXT_005465	(Questitem) Ein Edelstein, der ein Stück der Seele des Helden beinhaltet.
IDS_PROPITEM_TXT_005466	Staff of Venken
IDS_PROPITEM_TXT_005467	(Questitem) Ein Stock von Venken aus dem Jujube Baum, der von einem Blitz erschlagen wurde und somit die beste Haltbarkeit hat.
IDS_PROPITEM_TXT_005468	Ribbon of Luellui
IDS_PROPITEM_TXT_005469	(Questitem) Eine Haarschleife, die von Luellui hergestellt wurde. Ihr Hobby ist es, Haarschleifen zu sammeln.
IDS_PROPITEM_TXT_005470	Charm of Magic
IDS_PROPITEM_TXT_005471	(Questitem) Ein magischer Glücksbringer, der das Ziel anlockt und schwächt.
IDS_PROPITEM_TXT_005472	Mark of Hero
IDS_PROPITEM_TXT_005473	(Questitem) Das Zeichen des Helden, das beweist, dass du den Helden suchen darfst.
IDS_PROPITEM_TXT_005474	Sign of Ollien
IDS_PROPITEM_TXT_005475	(Questitem) Das Zeichen von Ollien, was belegt, dass du ihn getroffen hast.
IDS_PROPITEM_TXT_005476	Sign of Burlox
IDS_PROPITEM_TXT_005477	(Questitem) Das Zeichen von Bulrox, was belegt, dass du ihn getroffen hast.
IDS_PROPITEM_TXT_005478	Sign of Losha
IDS_PROPITEM_TXT_005479	(Questitem) Das Zeichen von Losha, was belegt, dass du sie getroffen hast.
IDS_PROPITEM_TXT_005480	Authentication of Hero
IDS_PROPITEM_TXT_005481	(Questitem) Das Zeichen beweist, dass du fähig bist, den Helden zu folgen.
IDS_PROPITEM_TXT_005482	Heart of Venel
IDS_PROPITEM_TXT_005483	(Questitem) Das Herz von Venel, das du nach dem Kampf mit Venel Guardian erhältst.
IDS_PROPITEM_TXT_005484	Book of Technique
IDS_PROPITEM_TXT_005485	(Questitem) Das ist in einer alten Sprache verfasst und erzählt über die einzelnen Techniken der ersten Jobs.
IDS_PROPITEM_TXT_005486	Label of Technique
IDS_PROPITEM_TXT_005487	(Questitem) Eine Notiz die in einer alten Sprache verfasst ist. Über die Gesamtzahl der Techniken der ersten Jobklasse.
IDS_PROPITEM_TXT_005488	Nominated of Master
IDS_PROPITEM_TXT_005489	(Questitem) Empfehlungsschreiben vom Meister der zweiten Jobklasse, die für den Wechsel der Jobklasse benötigt wird.
IDS_PROPITEM_TXT_005490	Rings of Ren
IDS_PROPITEM_TXT_005491	(Questitem) Der Ring von Jester Kerenen welcher von Ren gestohlen wurde.
IDS_PROPITEM_TXT_005492	Scroll of Stamp
IDS_PROPITEM_TXT_005493	(Questitem) Eine Schriftrolle mit einem Stempel des Helden. Sie wird benötigt um den Test im Altar des Helden anzunehmen.
IDS_PROPITEM_TXT_005494	Letter of Hynan
IDS_PROPITEM_TXT_005495	(Questitem) Der Brief von Hynan an seine Eltern im Himmel.
IDS_PROPITEM_TXT_005496	History book of Hero
IDS_PROPITEM_TXT_005497	(Questitem) Es wurde vom Weisen Radion geschrieben und beinhaltet alle Informationen über den Helden.
IDS_PROPITEM_TXT_005498	Head of Red Bang
IDS_PROPITEM_TXT_005499	(Questitem) Der Kopf des Red Bang Thief, als Beweis für seine Existenz.
IDS_PROPITEM_TXT_005500	Safe of Luda
IDS_PROPITEM_TXT_005501	(Questitem) Eine Geldkassette. Luda bewahrt in ihr das Geld für ein Geburtstagsgeschenk an seine Freundin auf.
IDS_PROPITEM_TXT_005502	Meteoritill
IDS_PROPITEM_TXT_005503	(Questitem) Ein metallisches Material, welches aus einem Meteoriten entnommen wurde und für die Herstellung der besten Waffen und Rüstungen benötigt wird.
IDS_PROPITEM_TXT_005504	Script
IDS_PROPITEM_TXT_005505	(Questitem) Ein neues Theaterstück von Tantalus, das den Titel "Der Himmel von Madrigal" trägt.
IDS_PROPITEM_TXT_005506	Lesson 1 in Manual
IDS_PROPITEM_TXT_005507	(Questitem) Gebrauchsanleitung1 - Manieren und Anstand
IDS_PROPITEM_TXT_005508	Lesson 2 in Manual
IDS_PROPITEM_TXT_005509	(Questitem) Gebrauchsanleitung2 - Allgemeinwissen und Vernunft
IDS_PROPITEM_TXT_005510	Lesson 3 in Manual
IDS_PROPITEM_TXT_005511	(Questitem) Gebrauchsanleitung3 - Gesundheit
IDS_PROPITEM_TXT_005512	1st Clue of Portrait
IDS_PROPITEM_TXT_005513	(Questitem) Sie haben alle rote Augen und haben grimmige Augen. Sie benutzen scharfe Schwerter und riesige Hämmer.
IDS_PROPITEM_TXT_005514	2nd Clue of Portrait
IDS_PROPITEM_TXT_005515	(Questitem) Ein Lagerfeuer brennt unter einem Baum und ein Anhänger steht daneben.
IDS_PROPITEM_TXT_005516	Portrait of Radion
IDS_PROPITEM_TXT_005517	(Questitem) Ein seltenes Portrait von dem weisen Mann Radion.
IDS_PROPITEM_TXT_005518	Pieces of Wagsaac Bone
IDS_PROPITEM_TXT_005519	(Questitem) Ein Knochenstück des Monster Wagsaac, das für ein geheimes Experiment im Labor von Madrigal benötigt wird.
IDS_PROPITEM_TXT_005520	Pieces of Wagsaac DNA
IDS_PROPITEM_TXT_005521	(Questitem) Ein Stück genetisches Material vom Monster Wagsaac, das für ein geheimes Experiment im Labor von Madrigal benötigt wird.
IDS_PROPITEM_TXT_005522	Black Tomb Marble
IDS_PROPITEM_TXT_005523	(Questitem) Ein Stück einer schwarzen Murmel, die sehr selten in Madrigal ist.
IDS_PROPITEM_TXT_005524	Black Curse Book
IDS_PROPITEM_TXT_005525	(Questitem) Ein Buch, in das ein Schwarzmagier über die Benutzung von Flüchen geschrieben hat.
IDS_PROPITEM_TXT_005526	Black Heroca
IDS_PROPITEM_TXT_005527	(Questitem) Seltenes Gras, das nur im mittleren Süden von Rhysis Garten wächst.
IDS_PROPITEM_TXT_005528	Disappearence book of Secret
IDS_PROPITEM_TXT_005529	(Questitem) Ein Bericht über das Verschwinden eines kleinen Mädchens in Saint Morning.
IDS_PROPITEM_TXT_005530	Doll of Jinyoung
IDS_PROPITEM_TXT_005531	(Questitem) Eine alte schmutzige Puppe, die Jinyoung sehr geliebt hat. Jinyoung ist die Tochter von Natalie.
IDS_PROPITEM_TXT_005532	Truly Disappearence book
IDS_PROPITEM_TXT_005533	(Questitem) Eine schriftliche Überprüfung der Wahrheit des Verschwinden eines kleinen Mädchens in Saint Morning.
IDS_PROPITEM_TXT_005534	Report about Mia
IDS_PROPITEM_TXT_005535	(Questitem) Detaillierter Bericht über die vermissten Kinder. Es wäre hilfreich, wenn jemand etwas wissenswertes über die verschwunden Kinder in Erfahrung bringen könnte.
IDS_PROPITEM_TXT_005536	Proof of Missing Case
IDS_PROPITEM_TXT_005537	(Questitem) Beweis für das Verschwinden des kleinen Mädchens aus Saint Morning.
IDS_PROPITEM_TXT_005538	1st Book on Dread
IDS_PROPITEM_TXT_005539	(Questitem) Ein Buch mit dem Titel: Grausame Furcht.
IDS_PROPITEM_TXT_005540	Map of Fortress
IDS_PROPITEM_TXT_005541	(Questitem) Eine Karte von einem Ort, wo die Grausame Furcht existiert.
IDS_PROPITEM_TXT_005542	Heart of Thyred
IDS_PROPITEM_TXT_005543	(Questitem) Das Herz Big Thyred, das zum Dreadpet Manager in den Süden des Leren Gebirgs gebracht werden sollte.
IDS_PROPITEM_TXT_005544	2nd Book on Dread
IDS_PROPITEM_TXT_005545	(Questitem) Ein Buch mit dem Titel Kalte Furcht
IDS_PROPITEM_TXT_005546	Map of Temple
IDS_PROPITEM_TXT_005547	(Questitem) Eine Karte von einem Ort, wo die Kalte Furcht existiert.
IDS_PROPITEM_TXT_005548	Heart of Dasied
IDS_PROPITEM_TXT_005549	(Questitem) Das Herz von Krren Dasied, das zum Dreadpet Manager nach Madren Town gebracht werden sollte.
IDS_PROPITEM_TXT_005550	3rd Book on Dread
IDS_PROPITEM_TXT_005551	(Questitem) Ein Buch mit dem Titel: Unangenehme Furcht
IDS_PROPITEM_TXT_005552	Map of Boggy
IDS_PROPITEM_TXT_005553	(Questitem) Eine Karte von einem Ort, wo eine Unangenehme Furcht existiert.
IDS_PROPITEM_TXT_005554	Heart of Arvan
IDS_PROPITEM_TXT_005555	(Questitem) Das Herz Moot Arvan, das zum Dreadpet Manager in den Osten zum Fluss des Weinens gebracht werden sollte.
IDS_PROPITEM_TXT_005556	Entale Sword
IDS_PROPITEM_TXT_005557	(Questitem) Berühmtes Schwert, das von Entale Boineo geschmiedet wurde und der Gründer der Luda Familie war.
IDS_PROPITEM_TXT_005558	Entale Sword
IDS_PROPITEM_TXT_005559	(Questitem) Berühmtes Schwert, das von Entale Boineo geschmiedet wurde und der Gründer der Luda Familie war.
IDS_PROPITEM_TXT_005560	Symbol of Red Bang Troupe
IDS_PROPITEM_TXT_005561	(Questitem) Abzeichen der Red Bang Diebe. Das könnte ein Beweis sein, um die Diebe zu unterdrücken.
IDS_PROPITEM_TXT_005562	Necklace of Lord Bang
IDS_PROPITEM_TXT_005563	(Questitem) Eine Halskette, die Lord Bang getragen hat, welcher der Leiter der Red Bang Truppe ist.
IDS_PROPITEM_TXT_005564	Emeraldmantis Egg
IDS_PROPITEM_TXT_005565	(Questitem) Seltenes Ei des Emeraldmantis, das die Leute nur einmal pro Jahr bekommen können.
IDS_PROPITEM_TXT_005566	Grape from Flaris
IDS_PROPITEM_TXT_005567	(Questitem) Die beste rote Traube, die in Flaris wächst.
IDS_PROPITEM_TXT_005568	Grape from Saint Morning
IDS_PROPITEM_TXT_005569	(Questitem) Grüne Traube, die in Saint Morning wächst.
IDS_PROPITEM_TXT_005570	Grape from Darkon
IDS_PROPITEM_TXT_005571	(Questitem) Rosa Traube, die in Darkon wächst.
IDS_PROPITEM_TXT_005572	Beaujolais from Flaris
IDS_PROPITEM_TXT_005573	(Questitem) Wein aus Flaris
IDS_PROPITEM_TXT_005574	Beaujolais from Saint Morning
IDS_PROPITEM_TXT_005575	(Questitem) Wein aus Saint Morning
IDS_PROPITEM_TXT_005576	Beaujolais from Darkon
IDS_PROPITEM_TXT_005577	(Questitem) Wein aus Darkon
IDS_PROPITEM_TXT_005578	Blue Giftbox
IDS_PROPITEM_TXT_005579	(Questitem) Blaue Geschenkekiste von Weihnachtsmann Buruto
IDS_PROPITEM_TXT_005580	Red Giftbox
IDS_PROPITEM_TXT_005581	(Questitem) Rote Geschenkekiste von Weihnachtsmann Aramy
IDS_PROPITEM_TXT_005582	Yellow Giftbox
IDS_PROPITEM_TXT_005583	(Questitem) Gelbe Geschenkekiste von Weihnachtsmann Atto
IDS_PROPITEM_TXT_005584	Stolen Gift Socks
IDS_PROPITEM_TXT_005585	(Questitem) Gestohlene Socken
IDS_PROPITEM_TXT_005586	Lucky Bag
IDS_PROPITEM_TXT_005587	(Questitem) Gerüchten zufolge soll in dem Glückssack ein besonderes Geschenk sein, das von Gerglin hergestellt wurde.
IDS_PROPITEM_TXT_005588	Rice Cake Soup
IDS_PROPITEM_TXT_005589	(Questitem) Besonderes koreanisches Ddukguk, das Losha für das chinesische Neujahr, dem größten Feiertag in Madrigal, gemacht hat.
IDS_PROPITEM_TXT_005590	Premium Box
IDS_PROPITEM_TXT_005591	(Questitem) Hunderte kostenlose Geschenke warten auf dich!
IDS_PROPITEM_TXT_005592	Broken Tomb Marble
IDS_PROPITEM_TXT_005593	(Questitem) Die Leute in Madrigal benutzen es, um Backstein zu erstellen, den die Menschen zum Hausbau benötigen.
IDS_PROPITEM_TXT_005594	Liquid Eronsimit
IDS_PROPITEM_TXT_005595	(Questitem) Die Leute in Madrigal benutzen es, um Leim zu erstellen, den die Menschen zum Hausbau benötigen.
IDS_PROPITEM_TXT_005596	Dry Root
IDS_PROPITEM_TXT_005597	(Questitem) Die Leute in Madrigal benutzen es, um Holz zu erstellen, den die Menschen zum Hausbau benötigen.
IDS_PROPITEM_TXT_005598	Luxury Box from Nina
IDS_PROPITEM_TXT_005599	Wunderst du dich auch, was in der Box drin ist, die Nina gemacht hat? Klick drauf und schau rein!
IDS_PROPITEM_TXT_005600	Special Box from ChiChi
IDS_PROPITEM_TXT_005601	Wunderst du dich auch, was in der Box drin ist, die ChiChi gemacht hat? Klick drauf und schau rein!
IDS_PROPITEM_TXT_005602	Normal Box from Mathias
IDS_PROPITEM_TXT_005603	Wunderst du dich auch, was in der Box drin ist, die Mathias gemacht hat? Klick drauf und schau rein!
IDS_PROPITEM_TXT_005604	Event Coupon
IDS_PROPITEM_TXT_005605	
IDS_PROPITEM_TXT_005606	Taeguk
IDS_PROPITEM_TXT_005607	
IDS_PROPITEM_TXT_005608	Heart
IDS_PROPITEM_TXT_005609	Dein Herz
IDS_PROPITEM_TXT_005610	Will
IDS_PROPITEM_TXT_005611	Dein Wille
IDS_PROPITEM_TXT_005612	Peace
IDS_PROPITEM_TXT_005613	Dein Frieden
IDS_PROPITEM_TXT_005614	Honor
IDS_PROPITEM_TXT_005615	Deine Ehre
IDS_PROPITEM_TXT_005616	Notebook
IDS_PROPITEM_TXT_005617	Dein persönlicher Laptop
IDS_PROPITEM_TXT_005618	Camara
IDS_PROPITEM_TXT_005619	Deine persönliche Kamera
IDS_PROPITEM_TXT_005620	Airship
IDS_PROPITEM_TXT_005621	Dein eigenes Luftschiff
IDS_PROPITEM_TXT_005622	Usbfanlight
IDS_PROPITEM_TXT_005623	Dein eigenes USB Ventilatorlicht
IDS_PROPITEM_TXT_005624	Balloon
IDS_PROPITEM_TXT_005625	Dein eigener Ballon
IDS_PROPITEM_TXT_005626	GiftTicket
IDS_PROPITEM_TXT_005627	
IDS_PROPITEM_TXT_005628	MovieTicket
IDS_PROPITEM_TXT_005629	Für alle Filme, die es je in FlyFF geben wird.
IDS_PROPITEM_TXT_005630	OST
IDS_PROPITEM_TXT_005631	Dein persönlicher FlyFF Soundtrack
IDS_PROPITEM_TXT_005632	Red Socks
IDS_PROPITEM_TXT_005633	Rote Socke, die Santa verloren hat.
IDS_PROPITEM_TXT_005634	Hover Board
IDS_PROPITEM_TXT_005635	
IDS_PROPITEM_TXT_005636	Cup of Lsis
IDS_PROPITEM_TXT_005637	
IDS_PROPITEM_TXT_005638	Instant Lawolf Sled
IDS_PROPITEM_TXT_005639	Nur einmal verwendbar
IDS_PROPITEM_TXT_005640	Lawolf Sledge
IDS_PROPITEM_TXT_005641	Der Schlitten vom Weihnachtsmann. Frisch vom Nordpol eingeflogen. Er hat eine max. Geschwindigkeit von 145 km/h.
IDS_PROPITEM_TXT_005642	Sworder Board
IDS_PROPITEM_TXT_005643	Ein Flugboard, welches aussieht wie ein Schwert.
IDS_PROPITEM_TXT_005644	Dragon Stick
IDS_PROPITEM_TXT_005645	Fliegender Stock, der aussieht wie ein Drache.
IDS_PROPITEM_TXT_005646	1st Card
IDS_PROPITEM_TXT_005647	
IDS_PROPITEM_TXT_005648	2nd Card
IDS_PROPITEM_TXT_005649	
IDS_PROPITEM_TXT_005650	3rd Card
IDS_PROPITEM_TXT_005651	
IDS_PROPITEM_TXT_005652	4th Card
IDS_PROPITEM_TXT_005653	
IDS_PROPITEM_TXT_005654	5th Card
IDS_PROPITEM_TXT_005655	
IDS_PROPITEM_TXT_005656	6th Card
IDS_PROPITEM_TXT_005657	
IDS_PROPITEM_TXT_005658	7th Card
IDS_PROPITEM_TXT_005659	
IDS_PROPITEM_TXT_005660	8th Card
IDS_PROPITEM_TXT_005661	
IDS_PROPITEM_TXT_005662	9th Card
IDS_PROPITEM_TXT_005663	
IDS_PROPITEM_TXT_005664	10th Card
IDS_PROPITEM_TXT_005665	
IDS_PROPITEM_TXT_005666	11th Card
IDS_PROPITEM_TXT_005667	
IDS_PROPITEM_TXT_005668	12th Card
IDS_PROPITEM_TXT_005669	
IDS_PROPITEM_TXT_005670	13th Card
IDS_PROPITEM_TXT_005671	
IDS_PROPITEM_TXT_005672	14th Card
IDS_PROPITEM_TXT_005673	
IDS_PROPITEM_TXT_005674	15th Card
IDS_PROPITEM_TXT_005675	
IDS_PROPITEM_TXT_005676	16th Card
IDS_PROPITEM_TXT_005677	
IDS_PROPITEM_TXT_005678	17th Card
IDS_PROPITEM_TXT_005679	
IDS_PROPITEM_TXT_005680	18th Card
IDS_PROPITEM_TXT_005681	
IDS_PROPITEM_TXT_005682	19th Card
IDS_PROPITEM_TXT_005683	
IDS_PROPITEM_TXT_005684	20th Card
IDS_PROPITEM_TXT_005685	
IDS_PROPITEM_TXT_005686	A Card
IDS_PROPITEM_TXT_005687	
IDS_PROPITEM_TXT_005688	B Card
IDS_PROPITEM_TXT_005689	
IDS_PROPITEM_TXT_005690	C Card
IDS_PROPITEM_TXT_005691	
IDS_PROPITEM_TXT_005692	D Card
IDS_PROPITEM_TXT_005693	
IDS_PROPITEM_TXT_005694	E Card
IDS_PROPITEM_TXT_005695	
IDS_PROPITEM_TXT_005696	F Card
IDS_PROPITEM_TXT_005697	
IDS_PROPITEM_TXT_005698	G Card
IDS_PROPITEM_TXT_005699	
IDS_PROPITEM_TXT_005700	H Card
IDS_PROPITEM_TXT_005701	
IDS_PROPITEM_TXT_005702	I Card
IDS_PROPITEM_TXT_005703	
IDS_PROPITEM_TXT_005704	J Card
IDS_PROPITEM_TXT_005705	
IDS_PROPITEM_TXT_005706	K Card
IDS_PROPITEM_TXT_005707	
IDS_PROPITEM_TXT_005708	L Card
IDS_PROPITEM_TXT_005709	
IDS_PROPITEM_TXT_005710	M Card
IDS_PROPITEM_TXT_005711	
IDS_PROPITEM_TXT_005712	N Card
IDS_PROPITEM_TXT_005713	
IDS_PROPITEM_TXT_005714	O Card
IDS_PROPITEM_TXT_005715	
IDS_PROPITEM_TXT_005716	P Card
IDS_PROPITEM_TXT_005717	
IDS_PROPITEM_TXT_005718	Q Card
IDS_PROPITEM_TXT_005719	
IDS_PROPITEM_TXT_005720	R Card
IDS_PROPITEM_TXT_005721	
IDS_PROPITEM_TXT_005722	S Card
IDS_PROPITEM_TXT_005723	
IDS_PROPITEM_TXT_005724	T Card
IDS_PROPITEM_TXT_005725	
IDS_PROPITEM_TXT_005726	U Card
IDS_PROPITEM_TXT_005727	
IDS_PROPITEM_TXT_005728	V Card
IDS_PROPITEM_TXT_005729	
IDS_PROPITEM_TXT_005730	W Card
IDS_PROPITEM_TXT_005731	
IDS_PROPITEM_TXT_005732	X Card
IDS_PROPITEM_TXT_005733	
IDS_PROPITEM_TXT_005734	Y Card
IDS_PROPITEM_TXT_005735	
IDS_PROPITEM_TXT_005736	Z Card
IDS_PROPITEM_TXT_005737	
IDS_PROPITEM_TXT_005738	Copper Key
IDS_PROPITEM_TXT_005739	(Questitem) Kupferschlüssel zum Öffnen der Box
IDS_PROPITEM_TXT_005740	Silver Key
IDS_PROPITEM_TXT_005741	(Questitem) Silberschlüssel zum Öffnen der Box
IDS_PROPITEM_TXT_005742	Gold Key
IDS_PROPITEM_TXT_005743	(Questitem) Goldschlüssel zum Öffnen der Box
IDS_PROPITEM_TXT_005744	Mas Dungeon Key
IDS_PROPITEM_TXT_005745	(Questitem) Schlüssel zum Öffnen des versiegelten Raums im Mas Dungeon
IDS_PROPITEM_TXT_005746	Dungeon Tarin Root
IDS_PROPITEM_TXT_005747	(Questitem) Trockene und verdorbene Wurzel von Mutant Fefern
IDS_PROPITEM_TXT_005748	Dungeon Star Stone
IDS_PROPITEM_TXT_005749	(Questitem) Giftiger Star Stone von Mutant Nyangnyang
IDS_PROPITEM_TXT_005750	Dungeon Golden Wing
IDS_PROPITEM_TXT_005751	(Questitem) Korrodierter Golden Wing von Mutant Bang
IDS_PROPITEM_TXT_005752	Paper from Roji
IDS_PROPITEM_TXT_005753	(Questitem) Bericht über die Beschaffenheit des Dungeons, der von Roji verschickt wurde.
IDS_PROPITEM_TXT_005754	Letter from Isruel
IDS_PROPITEM_TXT_005755	(Questitem) Brief von Isruel an Roji
IDS_PROPITEM_TXT_005756	Hair from Wormveduque
IDS_PROPITEM_TXT_005757	(Questitem) Haar vom Wormveduque
IDS_PROPITEM_TXT_005758	Hair from Serus Uriel
IDS_PROPITEM_TXT_005759	(Questitem) Haar von Serus Uriel
IDS_PROPITEM_TXT_005760	Letter from Rankashu
IDS_PROPITEM_TXT_005761	(Questitem) Ein Brief von Rankashu an Cell
IDS_PROPITEM_TXT_005762	Mine Entrance Card
IDS_PROPITEM_TXT_005763	(Keyitem) Zugangskarte zu den Dekane Minen
IDS_PROPITEM_TXT_005764	Piece of Nevils Prison Key1
IDS_PROPITEM_TXT_005765	(Questitem) Ein Stück des Schlüssels zu Nevils Gefängnis.
IDS_PROPITEM_TXT_005766	Piece of Nevils Prison Key2
IDS_PROPITEM_TXT_005767	(Questitem) Ein Stück des Schlüssels zu Nevils Gefängnis.
IDS_PROPITEM_TXT_005768	Piece of Nevils Prison Key3
IDS_PROPITEM_TXT_005769	(Questitem) Ein Stück des Schlüssels zu Nevils Gefängnis.
IDS_PROPITEM_TXT_005770	Nevils Prison Key
IDS_PROPITEM_TXT_005771	(Questitem) Schlüssel zu Nevils Gefängnis.
IDS_PROPITEM_TXT_005772	Keakoon Chief Sign
IDS_PROPITEM_TXT_005773	(Questitem) Stamp of Keakoon
IDS_PROPITEM_TXT_005774	Cargo of Drian
IDS_PROPITEM_TXT_005775	(Questitem) Ein Behälter, den Drian zu seinen Vater geschickt hat.
IDS_PROPITEM_TXT_005776	Shubrin Ring
IDS_PROPITEM_TXT_005777	(Questitem) Ein Ring, der mit Shubrin aus der Mine hergestellt wurde.
IDS_PROPITEM_TXT_005778	Pinky Roach Fluid
IDS_PROPITEM_TXT_005779	Flüssigkeit eines pinken Roach.
IDS_PROPITEM_TXT_005780	Blue Roach Fluid
IDS_PROPITEM_TXT_005781	Flüssigkeit eines blauen Roach.
IDS_PROPITEM_TXT_005782	Roach Water
IDS_PROPITEM_TXT_005783	Benutze dieses Wasser, um einige grosse Roach Eier zerbrechen zu können.
IDS_PROPITEM_TXT_005784	Pinky Roach Queen Fluid
IDS_PROPITEM_TXT_005785	Flüssigkeit einer pinken Roach Queen.
IDS_PROPITEM_TXT_005786	Blue Roach Queen Fluid
IDS_PROPITEM_TXT_005787	Flüssigkeit einer blauen Roach Queen.
IDS_PROPITEM_TXT_005788	Qurion Sword
IDS_PROPITEM_TXT_005789	
IDS_PROPITEM_TXT_005790	Qurion Axe
IDS_PROPITEM_TXT_005791	
IDS_PROPITEM_TXT_005792	Qurion Knucle
IDS_PROPITEM_TXT_005793	
IDS_PROPITEM_TXT_005794	Qurion Stick
IDS_PROPITEM_TXT_005795	
IDS_PROPITEM_TXT_005796	Qurion Wand
IDS_PROPITEM_TXT_005797	
IDS_PROPITEM_TXT_005798	Qurion Yoyo
IDS_PROPITEM_TXT_005799	
IDS_PROPITEM_TXT_005800	Qurion Bow
IDS_PROPITEM_TXT_005801	
IDS_PROPITEM_TXT_005802	Qurion Staff
IDS_PROPITEM_TXT_005803	
IDS_PROPITEM_TXT_005804	Bernard Card
IDS_PROPITEM_TXT_005805	(Keyitem) Zugangskarte zu tieferen Gewölben in Dekanes Mine
IDS_PROPITEM_TXT_005806	Cillin
IDS_PROPITEM_TXT_005807	(Questitem) Cillin ist ein Spielzeug der Dwarpets
IDS_PROPITEM_TXT_005808	Ribenuum
IDS_PROPITEM_TXT_005809	(Questitem) Metall zum Erstellen des Dwarpet Gelds
IDS_PROPITEM_TXT_005810	Pure Ribenuum
IDS_PROPITEM_TXT_005811	(Questitem) Metall zum Erstellen des Dwarpet Gelds
IDS_PROPITEM_TXT_005812	Andre Card
IDS_PROPITEM_TXT_005813	(Keyitem) Zugangskarte zu tieferen Gewölben der Dekanes Mine, die Andre hat.
IDS_PROPITEM_TXT_005814	Triduum
IDS_PROPITEM_TXT_005815	(Questitem) Metall zum Veredeln von Ribenuum
IDS_PROPITEM_TXT_005816	Kazen Card
IDS_PROPITEM_TXT_005817	(Questitem) ID Karte, die Dwarpet Kazen hat
IDS_PROPITEM_TXT_005818	Puran Necklace
IDS_PROPITEM_TXT_005819	(Questitem) Necklace, die von den Dwarpets herstellt wurde
IDS_PROPITEM_TXT_005820	Roach Zone Card
IDS_PROPITEM_TXT_005821	(Keyitem) Schlüssel zum Eingang der Roach Zone in Dekanes Mine
IDS_PROPITEM_TXT_005822	Keakoon Worker Pike
IDS_PROPITEM_TXT_005823	(Questitem) Lanze, welche die General Keakoon Workers benutzen
IDS_PROPITEM_TXT_005824	Keakoon Guard Sword
IDS_PROPITEM_TXT_005825	(Questitem) Schwerter, welche die General Keakoon Guard benutzen
IDS_PROPITEM_TXT_005826	Elite Keakoon Worker Pike
IDS_PROPITEM_TXT_005827	(Questitem) Lanze, welche die Elite Keakoon Workers benutzen
IDS_PROPITEM_TXT_005828	Elite Keakoon Guard Sword
IDS_PROPITEM_TXT_005829	(Questitem) Schwerter, welche die Elite Keakoon Guard benutzen
IDS_PROPITEM_TXT_005830	Mutant Keakoon Worker Pike
IDS_PROPITEM_TXT_005831	(Questitem) Lanze, welche die Mutant Keakoon Workers benutzen
IDS_PROPITEM_TXT_005832	Mutant Keakoon Guard Sword
